IDTRACKER,APLC_SEQ_NO,MID,TID,MERCHANT NAME,CITY,PROSES PENGAJUAN APLIKASI,TGL APLIKASI MASUK,STATUS APLIKASI,STATUS WR,STATUS WO,PROVIDER_TYP,TMNL_STATUS,TMNL_MODEL,SNO,MER_DTL_ADDR1,MER_DTL_ADDR2,MER_DTL_ADDR3,MID_BRI,MID_BNI,MID_BTN,MID_ASTRAPAY,MID_DANAMON,MID_BSI,MID_OCBC,TID_BRI,TID_BNI,TID_BTN,TID_ASTRAPAY,TID_DANAMON,TID_BSI,TID_OCBC,MEMBER_BANK,DATA_CHNG_DTTM
1797,12004184751,71147822149,74738144,EXH GELEGAR REJEKI BNI MB,Makassar (Kota),Approved,02:21.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,Withdrawal,MOVE2500,4.73E+19,GELEGAR REJEKI BNI,EVENT GELEGAR REJEKI BNI GAK PAKE NANTI,"MALL RATU INDAH JL. RATULANGI, KEL MAMAJANG LUAR",,'000100215901734,'000,,,,,,7820701,,,,,,SINGLE BNI,20:47.9
1798,12004184758,71148602807,74746352,6A4C LAWSON KELAPA GADING BLVRD,Jakarta Utara (Kota Administrasi),Approved,14:23.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,8.73E+19,JL. KELAPA DADING BOULEVARD BLOK T-N-2 NO 38,KEL KELAPA GADING TIMUR KEC KELAPA GADING,JAKARTA UTARA,1999252378,'000100214902680,'000,,,,,10437248,15211102,,,,,,SHARING BMRI-BRI-BNI,25:02.0
1799,12004184766,71150333245,74764459,6A4D LAWSON EKA HOSPITAL,Tangerang Selatan (Kota),Approved,26:41.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,9.73E+19,KOMPLEK CENTRAL BUSINESS DISTRICT,BSD CITY LOT IX KEL LENGKONG GUDANG KEC SERPONG,TANGERANG SELATAN,1999252379,'000100203901160,'000,,,,,10437250,14339702,,,,,,SHARING BMRI-BRI-BNI,22:52.0
1800,12004184772,71148602714,74746351,UB72 ALFAMART TTS SOEHARTO,Timor Tengah Selatan (Kab),Approved,52:13.0,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,JL. SOEHARTO NO.11 RT.5 RW.3,KEC KOTA SOE KEL TAUBNENO,TIMOR TENGAH SELATAN,1999252368,'000100211003704,'000200711486027143,,,,,10437234,8108823,20033874,,,,,SHARING BMRI-BRI-BNI-BTN,26:12.8
1801,12004184803,71147910905,74739186,HCIR-INFORMA NEO SOHO J,Jakarta Barat (Kota Administrasi),Approved,00:27.0,Approval Completed,CLOSE - COMPLETED,Complete,XL,On Operation,MOVE2500,9.73E+19,PT HOME CENTER INDONESIA RET NEO SOHO MALL,JL. LETJEN. S. PARMAN KEL TJ. DUREN SEL,KEC GROGOLPETAMBURAN JAKARTA BARAT,,'000100212900514,'000,,,,,,12096004,,,,,,SINGLE BNI,38:52.5
1802,12004184803,71147910905,74739187,HCIR-INFORMA NEO SOHO J,Jakarta Barat (Kota Administrasi),Approved,00:27.0,Approval Completed,CLOSE - COMPLETED,Complete,XL,On Operation,MOVE2500,7.30E+18,PT HOME CENTER INDONESIA RET NEO SOHO MALL,JL. LETJEN. S. PARMAN KEL TJ. DUREN SEL,KEC GROGOLPETAMBURAN JAKARTA BARAT,,'000100214902791,'000,,,,,,12096005,,,,,,SINGLE BNI,38:52.7
1803,12004184821,71147763698,74736107,SOUVENIR NIMO MBL,Bandung (Kab),Approved,40:46.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,9.73E+19,PT KREASI ALAM PARAHYANGAN,"JL. BANJARSARI, KEC. PANGALENGAN",BANDUNG,,'000100215901704,'000,,,,,,4555002,,,,,,SINGLE BNI,38:48.1
1804,12004184824,71147763884,74736110,KASIR WAHANA NIMO MBL,Bandung (Kab),Approved,48:22.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,5.73E+19,PT KREASI ALAM PARAHYANGAN,JL. BANJARSARI KEC. PANGALENGAN,BANDUNG,,'000100012402731,'000,,,,,,4555202,,,,,,SINGLE BNI,39:19.1
1805,12004184838,71147764035,74736113,CAMELIAN SKY VIEW MBL,Bandung (Kab),Approved,02:04.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,5.73E+19,PT KREASI ALAM PARAHYANGAN,JL BANJARSARI KEC PANGALENGAN,BANDUNG,,'000100211900837,'000,,,,,,4555402,,,,,,SINGLE BNI,39:50.2
1806,12004184848,71147764407,74736119,THENBLANK BANDUNG MBL,Bandung (Kota),Approved,16:06.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,3.73E+19,PT THENBLANK KREASI INDONES JL LASWI NO.1,KEL. KACAPIRING KEC. BATUNUNGGAL,BANDUNG,,'000100214023939,'000,,,,,,4701902,,,,,,SINGLE BNI,49:18.2
1807,12004184849,71147764500,74736120,GLASS SKY BRIDGE MBL,Bandung (Kab),Approved,21:34.0,Approval Completed,CLOSE - COMPLETED,Complete,XL,On Operation,MOVE2500,2.73E+19,PT KREASI ALAM PARAHYANGAN,"JL. BANJARSARI, KEC. PANGALENGAN",BANDUNG,,'000100209901269,'000,,,,,,4555902,,,,,,SINGLE BNI,41:22.8
1808,12004204029,71148819867,74748014,KOPERASI PEGAWAI REPUBLIK INDONESIA NYINAU EKONOMI UTAMA (MINIMARKET DIDALAM RSUD BANYUMAS),Banyumas (Kab),Approved,59:42.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,4.73E+19,JL RUMAH SAKIT NO 01,KEL KEJAWAR KEC BANYUMAS,BANYUMAS,,'000100215001867,2.01E+14,,,,,,,20033211,,,,,SINGLE BTN,37:21.5
1809,12004204079,71147683972,74736062,EXH INACRAFT 2023,Jakarta Pusat (Kota Administrasi),Approved,20:15.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,Withdrawal,MOVE2500,9.73E+19,BRP EXPERIENCE INACRAFT 2024,MAIN LOBBY,"JCC SENAYAN, JAKARTA PUSAT",,'000100210901517,'000,,,,,,10088902,,,,,,SINGLE BNI,35:39.5
1810,12004204182,71147823330,74738207,RM PAYAKUMBUAH BINTARO MB,Jakarta Selatan (Kota Administrasi),Approved,35:41.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,Substitution Withdrawal Request,MOVE2500,6.73E+19,PT CITA RASA KENCANA,BINTARO PESANGGRAHAN,JAKARTA SELATAN,,'000100205005797,'000,,,,,,10130322,,,,,,SINGLE BNI,04:38.2
1811,12004206100,71149144510,74752220,POLIKLINIK POLITEKNIK PELAYARAN SURABAYA,Surabaya (Kota),Approved,21:58.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,4.73E+19,JL GUNUNG ANYAR BOULEVARD NO 1,KEL GUNUNG ANYAR KEC GUNUNG ANYAR,SURABAYA,,'000100215901603,2.01E+14,,,,,,,20033666,,,,,SINGLE BTN,04:47.2
1812,12004206706,71147900443,74739039,BTN L0K@!#$%&()<> DUMMY DJAKARTA,Jakarta Pusat (Kota Administrasi),Approved,53:58.0,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,"MENARA BTN, JL.GAJAH MADA NO.1, RW.8",KEL PETOJO UTARA KEC GAMBIR,JAKARTA PUSAT,,'000100212005586,2.01E+14,,,,,,,20033187,,,,,SINGLE BTN,59:43.0
1813,12004206717,71149288298,74753651,TOKO TASYA LESHA 3,Bekasi (Kab),Approved,02:07.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,8.73E+19,PERUMAHAN GRAMAPURI TAMANSARI E.3 NO 20,KEL WANASARI KEC CIBITUNG,BEKASI,,'000100209209675,2.01E+14,,,,,,,20033712,,,,,SINGLE BTN,59:58.7
1814,12004206721,71148829020,74748552,DIANA SUPERMARKET,Mimika (Kab),Approved,07:13.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,9.73E+19,JL BUDI UTOMO NO 8,MIMIKA,,,'000100208901008,2.01E+14,,,,,,,20033215,,,,,SINGLE BTN,31:53.4
1815,12004206721,71148829020,74748555,DIANA SUPERMARKET,Mimika (Kab),Approved,07:13.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,9.73E+19,JL BUDI UTOMO NO 8,MIMIKA,,,'000100212005316,2.01E+14,,,,,,,20033218,,,,,SINGLE BTN,31:54.0
1816,12004206721,71148829020,74748556,DIANA SUPERMARKET,Mimika (Kab),Approved,07:13.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,9.73E+19,JL BUDI UTOMO NO 8,MIMIKA,,,'000100215901659,2.01E+14,,,,,,,20033219,,,,,SINGLE BTN,31:54.2
1817,12004206840,71148829113,74748563,DIANA DEPARTMENT STORE,Mimika (Kab),Approved,50:50.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,9.73E+19,JL BUDI UTOMO NO 8,MIMIKA,,,'000100012086013,2.01E+14,,,,,,,20033221,,,,,SINGLE BTN,32:34.8
1818,12004207448,71149288105,74753650,TOKO TASYA LESHA 1,Bekasi (Kab),Approved,03:55.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,9.73E+19,JL SELANG BULAK,KEL WANAJAYA KEC CIBITUNG,BEKASI,,'000100208901013,2.01E+14,,,,,,,20033711,,,,,SINGLE BTN,59:38.0
1819,12004208981,71147901345,74739055,EXH INACRAFT 2023,Jakarta Pusat (Kota Administrasi),Approved,17:16.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,Withdrawal,MOVE2500,1.73E+19,LORAKACA,HALL B 241,JCC SENAYAN JAKARTA PUSAT,,'000100008037210,'000,,,,,,15817302,,,,,,SINGLE BNI,57:16.5
1820,12004209739,71148749952,74747843,OHH DONUTS,Medan (Kota),Approved,28:22.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,8.73E+19,CREATIVEPRENEUR CORNER 2023,JL. GAGAK HITAM NO.7 KEC MEDAN SUNGGAL,MEDAN,,'000100214903300,'000,,,,,,1607099,,,,,,SINGLE BNI,30:44.9
1821,12004209741,71148750057,74747845,CXO,Medan (Kota),Approved,32:06.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,Withdrawal,MOVE2500,9.73E+19,CREATIVEPRENEUR CORNER 2023,"JL. GAGAK HITAM NO.7, MEDAN SUNGGAL",MEDAN,,'000100214902826,'000,,,,,,1608896,,,,,,SINGLE BNI,45:53.5
1822,12004209741,71148750057,74747846,CXO,Medan (Kota),Approved,32:06.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,Withdrawal,MOVE2500,9.73E+19,CREATIVEPRENEUR CORNER 2023,"JL. GAGAK HITAM NO.7, MEDAN SUNGGAL",MEDAN,,'000100215901734,'000,,,,,,1608897,,,,,,SINGLE BNI,45:53.7
1823,12004209741,71148750057,74747848,CXO,Medan (Kota),Approved,32:06.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,Withdrawal,MOVE2500,7.30E+18,CREATIVEPRENEUR CORNER 2023,"JL. GAGAK HITAM NO.7, MEDAN SUNGGAL",MEDAN,,'000100208901018,'000,,,,,,1608899,,,,,,SINGLE BNI,45:54.1
