IDTRACKER,APLC_SEQ_NO,MID,TID,MERCHANT NAME,CITY,PROSES PENGAJUAN APLIKASI,TGL APLIKASI MASUK,STATUS APLIKASI,STATUS WR,STATUS WO,PROVIDER_TYP,TMNL_STATUS,TMNL_MODEL,SNO,MER_DTL_ADDR1,MER_DTL_ADDR2,MER_DTL_ADDR3,MID_BRI,MID_BNI,MID_BTN,MID_ASTRAPAY,MID_DANAMON,MID_BSI,MID_OCBC,TID_BRI,TID_BNI,TID_BTN,TID_ASTRAPAY,TID_DANAMON,TID_BSI,TID_OCBC,MEMBER_BANK,DATA_CHNG_DTTM
3171,12003721167,71142549681,74682131,PMR IIMS - 2023,Jakarta Pusat (Kota Administrasi),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,Withdrawal,MOVE2500,6.73E+19,ARENA JIEXPO KEMAYORAN JAKARTA,KEL KEMAYORAN KEC KEMAYORAN,"JAKARTA PUSAT , DKI JAKARTA",,'000100215901735,,,21169917,,,,,,,MTIS0049,,,SINGLE DANAMON,02-MAR-23 10.42.19.523000000 PM
3172,12003102179,71135791323,74607998,COUNTER 17 MBL,Jakarta Pusat (Kota Administrasi),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,3.73E+19,KOP PEGAWAI SETJEN DPR RI,GEDUNG NUSANTARA 2 LT.3 DPR RI KEL GELORA,"KEC TANAH ABANG, JAKARTA PUSAT",,'000100212900921,'000,,,,,,10071873,,,,,,SINGLE BNI,20-JAN-23 06.30.09.315000000 PM
3173,12003380284,71138979570,74642576,2GX8 ALFAMART MALINGPING SELATAN,Lebak (Kab),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,Android,2272CA174248,JL. BENDUNGAN NK KP.CIKEUSIK TIMUR RT 005 RW 002,KEL MALINGPING SELATAN KEC MALINGPING,LEBAK,1999245243,'000100217901017,'000200711389795709,,,,,10429049,14328402,20032542,,,,,SHARING BMRI-BRI-BNI-BTN,22-FEB-23 04.51.05.927000000 PM
3174,12003585998,71142828403,74685202,P942 ALFAMART SAT GUNUNG MEGANG,Muara Enim (Kab),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,7.30E+18,JL RT 01 DUSUN VI,DESA GUNUNG MEGANG LUAR KEC GUNUNG MEGANG,MUARA ENIM,1999242833,'000100203901221,'000200711428284032,,,,,10424477,3125702,20032960,,,,,SHARING BMRI-BRI-BNI-BTN,21-MAR-23 09.16.06.295000000 PM
3175,12003796841,71143580334,74692168,INDOMARET TAT4 - FRESH GALAXY 7,Batam (Kota),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,4.73E+19,JL KOMP RUKO GALAXY  BLOK A NO.7-8,KEL BALOI INDAH KEC LUBUK BAJA,BATAM,1999240024,'000100214902901,'000200711435803341,,,,,10419137,2889605,20032851,,,,,SHARING BMRI-BRI-BNI-BTN,18-MAR-23 07.16.43.958000000 PM
3176,12003586268,71142829026,74685208,W690 ALFAMART TANAH MERAH-KUTACANE,Aceh Tenggara (Kab),Approved,2012023,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,JL. BLANG KEJEREN,KEL KAMPUNG BARU KEC BADAR,ACEH TENGGARA,1999238724,'000100214902795,'000200711428290264,,,,,10416778,1064399,20033789,,,,,SHARING BMRI-BRI-BNI-BTN,13-FEB-23 12.42.17.686000000 PM
3177,12003083175,71135172144,74601390,DWIDAYATOUR.CO.ID PACIFIC PLACE - PB 3,Jakarta Selatan (Kota Administrasi),Approved,2012023,Approval Completed,,,None,On Operation,,,PACIFIC PLACE SUDIRMAN CENTRAL BUSINESS DISTRICT,"BASEMENT FLOOR UNIT B1-24, LOT. 3&5","JL.JEND SUDIRMAN KAV 52-53,JAKARTA SELATAN 12190",,'000100211003681,,,,,,,,,,,,,SINGLE BMRI,18-JAN-23 10.30.42.472000000 AM
3178,12003310664,71138245699,74635371,GOORI GUNUNG PATI 1 MBL,Semarang (Kota),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,XL,On Operation,MOVE2500,2.73E+19,,,,,'000100206901053,'000,,,,,,5420203,,,,,,SINGLE BNI,29-JAN-23 07.46.54.562000000 PM
3179,12002976310,71135400079,74604258,MIDTRANS*GLOBALASIATRENDMDR,Jakarta Selatan (Kota Administrasi),Approved,2012023,Approval Completed,,,None,On Operation,,,JL. WARUNG BUNCIT RAYA NO 6 RT 001 RW 009,KEL KALIBATA KEC PANCORAN,JAKARTA SELATAN,,'000100205900822,,,,,,,,,,,,,SINGLE BMRI,18-JAN-23 06.10.02.691000000 PM
3180,12003718601,71142551153,74682149,HUT BTN 73 7,Jakarta Pusat (Kota Administrasi),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,XL,Withdrawal,MOVE2500,2.73E+19,ISTORA GELORA BUNG KARNO,"JL. PINTU SATU SENAYAN NO.1, RT.1/RW.3","KEL GELORA KEC TANAH ABANG, JAKARTA PUSAT",,'000100208005558,2.00711E+14,,,,,,,20032738,,,,,SINGLE BTN,14-FEB-23 05.49.13.575000000 PM
3181,12002600252,71131263238,74557413,FRANK & CO CIBUBUR,Depok (Kota),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,XL,On Operation,MOVE2500,2.73E+19,TRANSPARK CIBUBUR LT. GF 55,JL. ALTERNATIF CIBUBUR NO.230,DEPOK,,'000100206003358,'000,,,,,,14924102,,,,,,SINGLE BNI,09-JAN-23 03.56.45.573000000 PM
3182,Y0000039538,71153757591,74800409,CAKSIS SEAFOOD MBL,Jember (Kab),Approved,2012023,Approval Completed,OPEN - SCHEDULED,Pending - Customer,Telkomsel,On Deployment,MOVE2500,9.73E+19,JL RA KARTINI NO. 64,"TEMBAAN, KEPATIHAN KEC KALIWATES",JEMBER,,'000100215901526,'000,,,,,,18105236,,,,,,SINGLE BNI,22-MAR-23 03.59.21.270000000 PM
3183,12002648019,71133315612,74578065,UB51 ALFAMART REMU SELATAN SORONG,Sorong (Kota),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,Android,224RCA131291,JL. BASUKI RAHMAT NO.14,KEL REMU SELATAN KEC SORONG MANOI,SORONG,1999229419,'000100210257846,'000200711333156125,,,,,10401777,16038402,20031662,,,,,SHARING BMRI-BRI-BNI-BTN,14-FEB-23 08.29.57.608000000 PM
3184,12003988652,71151360715,74774974,JAMBULUWUK OCEANO SEMINYAK HOTEL - PAYMENT LINK,Badung (Kab),Approved,2012023,Approval Completed,,,None,On Operation,,,JL. PETITENGET NO. 108 - 110,KEL. KEROBOKAN KEC. KUTA UTARA,BADUNG,,'000100210001276,,,,,,,,,,,,,SINGLE BMRI,13-MAR-23 01.49.15.357000000 PM
3185,12003083266,71135180337,74601560,DWIDAYATOUR.CO.ID BALIKPAPAN - PB 6,Balikpapan (Kota),Approved,2012023,Approval Completed,,,None,On Operation,,,JL. JEND. SUDIRMAN NO. 51B RT 10,BALIKPAPAN 76114,,,'000100215901488,,,,,,,,,,,,,SINGLE BMRI,18-JAN-23 10.31.09.623000000 AM
