SYS_ID_TR_MERCHANT_REGISTRATION,NUMBERS
2687d16a-ee29-4f49-8b43-8e2d34d5f7cb,Y0000000845
f43ba775-cd21-45f9-9fe2-2d1fafcb0e17,Y0000045477
b26ebf6e-811b-4852-b07d-0e225966baeb,Y0000000635
5deedd01-fc8e-4f63-8778-890147a4766c,Y0000043836
7fdc2f9c-0641-4f38-9643-54677ee4ac38,Y0000047063
836d402a-e67b-41ba-ab03-060d7b8ef066,Y0000000689
5763d5ff-9f4a-4dca-a312-a0b9e24a0127,Y0000044107
d5adc2fd-1203-4338-b6f0-a311178c9473,Y0000042250
b345daf7-dcb0-4a43-b8bd-db4d54d69493,Y0000049814
4854fc4a-6ee1-4f6a-ad36-66a71cd53512,Y0000042783
b8ca4ee8-8a75-471c-b250-da2b4d377339,Y0000052199
ba78e425-53cf-43d9-90a3-b99a598782c2,Y0000000915
fed1c10b-132d-4ea9-9d20-66cf9761698a,Y0000028107
e8f0c3bb-27c2-41de-bc3e-69f455ef6247,Y0000041708
2ccaaa06-2ca4-45ff-8951-1fb27323c51e,Y0000040681
53546bed-83b8-4a4d-93bc-7dbb0834d9ca,Y0000046155
e06cbab3-8fec-4ed7-8eff-7be7866774ea,Y0000042782
4236139a-fad9-4cb2-94d2-b1385b59cd54,Y0000041030
71ea602b-264e-45a4-878c-4732cdd426bf,Y0000043230
3d37bcc4-de05-45ed-89b1-959c8bb08b1c,Y0000001044
9e6a47cc-c8a9-4bb9-aef1-a8be4b384cfc,Y0000051857
8244946f-fd8d-4424-9f47-df030c212833, 0000000385
4fa03a91-2e4f-4f40-843b-2e30a1dd7a1f,Y0000002060
7e753cff-b9ca-46a6-88b6-8fd6d47a665c,Y0000000645
354e8f01-03bb-4464-97a8-994555be5283,Y0000045980
fe7d654e-7d69-4e5d-b739-9659c196470b,Y0000050581
3c6b0a94-9545-4002-9819-1a7000d5222e,Y0000043910
0d638367-bdf9-4983-9c46-3e35b7ddcbe4,Y0000049047
e1f0695e-718c-46e9-9bf7-630781516a39,Y0000018176
e7f6610c-996b-43d4-b9f8-c32d49544717,Y0000000690
7066c4a2-9944-400b-88be-b0fa79db796a,Y0000051499
7236e82a-975e-47db-8d47-33b81fc75740,Y0000000941
520cd332-04f2-4dbe-a7f0-509a307f9834,Y0000017845
5e46ee76-d6cc-42b7-9dc1-5c3e6f514a49,Y0000002685
c23745df-1714-4a97-bffb-99dfbb0dac9a,Y0000000954
9fe42145-d730-4ad3-a5a5-0abf79702069,Y0000040596
46b0fc97-2377-4299-810a-57a3db4820d4,Y0000041499
36540889-b7d4-407a-b5a0-51dd3f43ea06,Y0000049132
3c95c3d3-3583-488c-bf51-880fd80c4d04,Y0000024439
aaaf89c8-5ea6-4b06-85e3-1506503d76ba,Y0000046410
